,,header_0,header_1,header_2,header_3,header_4,header_5,header_6,header_7,header_8,header_9
class,Asteroidea,2.20888,0.7610761,1.2151229,0.766876,0.9671592,1.1885378,0.7629673,0.83860207,0.76807207,1.4493093
class,Aves,1.8617976,0.9363108,1.1854767,1.1347402,1.4414247,1.4618478,1.3491,1.0623256,0.9127427,0.9797037
class,Bivalvia,1.6238534,1.1450408,1.7012163,0.811819,1.3078732,1.6105863,1.4641526,1.4131451,0.78218865,1.0273242
class,Bryopsida,1.7365407,2.0908775,2.3586183,0.7737964,2.1431017,1.9938363,2.314373,0.77141166,1.5344621,2.1523812
class,Candelariomycetes,0.007307925,0.0,0.0,0.0061763236,0.0,0.0,0.007307925,0.0027621358,0.007307925,0.0
class,Cephalopoda,1.1146415,0.83275944,3.4585412,1.4099528,1.6092501,0.72449815,1.6402133,0.80859876,2.7447019,1.8359674
class,Chilopoda,0.8946613,0.52935475,0.5297647,0.52841794,0.5975157,0.58440673,0.5409606,0.5301498,0.5317796,0.55182284
class,Clitellata,0.41511407,0.42462915,0.40124956,0.4053691,0.414722,1.9417152,0.4142564,0.41022366,0.41084623,4.999468
class,Colpodea,0.0,0.00478416,0.0027621358,0.0,0.0,0.0027621358,0.0027621358,0.0061763236,0.0,0.0
class,Cycadopsida,0.0,0.0,0.00390625,0.00478416,0.0,0.0,0.0055242716,0.0,0.00478416,0.00390625
class,Dacrymycetes,0.41311288,0.38903084,0.40829656,0.40681773,1.9780397,0.4044444,2.098504,0.4016629,0.41375345,0.40491405
class,Demospongiae,0.0027621358,0.0067658233,0.007307925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
class,Dictyochophyceae,0.0061763236,0.007307925,0.0,0.0,0.0,0.0,0.0,0.0,0.0027621358,0.0
class,Diplopoda,1.2029831,0.6793606,0.6935657,0.93759835,1.1851115,0.69555455,1.1691469,2.223274,0.69327205,0.69506633
class,Echinoidea,1.2810786,0.7148636,0.72675145,0.7245787,2.2245655,1.8702844,2.0306625,0.71093494,0.7058703,0.7310637
class,Elasmobranchii,1.6798055,0.77806103,1.5685158,1.8466891,2.2885299,2.6804433,0.8682383,1.6902701,0.81952953,3.3396556
class,Enoplea,0.0,0.0,0.0,0.00390625,0.0055242716,0.0078125,0.0055242716,0.0,0.0055242716,0.0
class,Eurotiomycetes,0.0,0.00390625,0.0,0.00390625,0.0,0.011048543,0.0,0.0078125,0.0,0.0
class,Fusulinata,0.0,0.0,0.0,0.0,0.0,0.0055242716,0.0,0.0099590225,0.0,0.0
class,Gastropoda,2.2925448,0.90227854,1.4046749,1.0669423,1.5684644,1.5948573,1.0442718,1.1249242,0.85646474,0.96234053
class,Ginkgoopsida,0.0,0.00956832,0.0,0.00478416,0.00390625,0.0,0.0,0.0,0.00390625,0.0
class,Globothalamea,0.5521754,0.54306024,3.5985515,0.5428641,0.53135675,3.7279463,0.5394985,0.5379458,0.54228693,0.52907926
class,Gnetopsida,0.3918156,0.4049117,4.7477818,0.4092216,5.080235,0.39432424,0.39358133,0.4098166,0.38759568,0.41332242
class,Gymnolaemata,0.5423664,0.5487969,0.5445745,3.6406467,0.53568596,0.5326862,2.4191597,0.54383105,0.5514106,0.54821813
class,Gymnostomatea,0.40824836,0.4154937,0.39529806,4.5729365,0.40187192,2.719401,0.39165604,0.41775867,0.39565164,0.427807
class,Holothuroidea,1.2018795,0.7577026,0.5971039,0.5982778,2.1779552,0.6082521,1.3427311,0.6070089,0.59947085,0.61683524
class,Hydrozoa,2.2610247,0.8594177,0.79093796,0.6497146,0.6348781,0.9839208,0.6477871,0.6470809,0.6391663,0.6509049
class,Insecta,1.8460795,0.94099516,1.1494255,1.0584586,1.5242538,1.5238862,1.3247458,0.9861757,0.9178252,0.9398638
class,Lecanoromycetes,1.9775027,1.0537183,1.1137975,0.974945,1.8607807,1.5752366,1.3530524,1.0882934,1.1012082,0.8139297
class,Leotiomycetes,0.7352876,0.5367898,0.54513824,2.7320096,2.1619563,0.54493797,0.5521565,0.5407305,0.534774,4.6011667
class,Liliopsida,2.8561876,1.896136,1.9337271,2.2351387,2.5202737,2.625079,2.5503874,1.9967755,1.8215278,2.091589
class,Lycopodiopsida,1.2953167,0.74623513,2.77883,1.6513306,1.6194341,1.4441475,3.188206,4.845179,0.74076617,0.7406474
class,Magnoliopsida,2.811109,1.9856648,2.1712632,2.1167107,2.7145536,2.499878,2.332794,1.9959463,2.0261495,1.8594857
class,Malacostraca,1.4433,1.0402603,0.99002236,1.3058386,1.6496398,1.6609025,2.053779,1.1104648,1.0673406,1.1120081
class,Mammalia,2.1715732,1.0739334,1.3457483,1.297689,1.415593,1.7629058,1.5297793,1.1524681,1.055417,1.0566113
class,Marchantiopsida,3.523318,3.034416,0.64611936,0.648581,0.67065966,1.4663252,0.6530632,0.63976467,0.64871585,0.63774157
class,Merostomata,0.0,0.0,0.0,0.0,0.0078125,0.0078125,0.0,0.0,0.0061763236,0.0
class,Monogenea,0.0,0.00390625,0.0,0.0055242716,0.013531647,0.0027621358,0.0,0.007307925,0.0,0.0067658233
class,Myxomycetes,0.9512846,0.6465655,0.6562719,0.6413913,1.907208,1.4451929,2.0372179,0.64513594,0.6567572,0.65752435
class,Not assigned,1.9912426,0.8430381,1.1945187,1.2823802,1.5730869,1.5263236,1.1433315,1.4303172,1.3183974,1.2738
class,Ophiuroidea,0.0,0.0,0.0,0.0061763236,0.0027621358,0.0067658233,0.0067658233,0.0,0.00478416,0.00390625
class,Ostracoda,0.5176715,0.5476123,0.55331284,0.55826646,0.53419507,2.9997156,2.7668827,5.9439726,0.5531157,0.52322555
class,Pezizomycetes,2.039462,2.0173545,4.8055263,3.1831527,2.4368417,0.7388131,1.3985215,0.7416296,2.2249174,0.7447553
class,Pinopsida,3.7194078,2.96693,2.2898555,2.0499218,2.3005538,2.7134657,2.452232,2.7150152,1.5369844,1.9052978
class,Polychaeta,1.1579902,0.7184721,0.718895,0.72223127,3.1004658,1.8697472,0.7198258,0.7226462,0.7290862,0.71515846
class,Polyplacophora,1.9008815,0.74153024,2.3770895,1.2213578,1.4065495,0.8909367,0.7407846,0.92239344,0.7454294,0.8411066
class,Polypodiopsida,3.0686293,2.3916445,2.3777711,1.4790872,2.1649802,2.5737445,1.6969471,2.109331,1.589582,1.5478144
class,Protosteliomycetes,0.00390625,0.0027621358,0.0,0.0027621358,0.0,0.0,0.0,0.0061763236,0.0,0.008734641
class,Pucciniomycetes,0.83623695,0.53636473,0.5474683,0.55034906,1.5520439,1.1103032,0.53367114,0.5438697,0.5375578,0.5438427
class,Reptilia,2.3174293,1.0939924,1.0956539,1.663543,1.768388,1.7399538,1.7882985,1.0913001,1.1942447,1.2037026
class,Scyphozoa,1.7790241,0.5444834,0.5524785,0.5442254,0.5396646,0.5558867,2.876797,0.53802973,0.8232986,0.549841
class,Sordariomycetes,1.5545083,0.69642603,0.7040351,0.7107851,0.7003804,2.2540188,2.2805393,2.054712,0.7159412,0.70122546
class,Tremellomycetes,2.3453412,2.172453,1.543938,0.6931834,0.699852,1.024425,0.6886988,0.6976452,0.6955028,0.69077075
class,Trilobita,2.602878,0.40341392,0.40969795,0.38224545,0.40254658,0.40844485,0.3976222,0.40866697,0.3946817,5.886632
class,Tubothalamea,0.53458357,6.4840474,5.0937853,4.5464697,0.5244503,0.5410136,0.73824775,0.54392684,0.5325904,0.5290233
order,Accipitriformes,2.6272547,1.0707425,1.6400858,1.1935637,1.2095551,1.4940715,1.5582365,1.3667686,0.79104406,0.7883403
order,Acorales,0.0,0.0,0.0061763236,0.00390625,0.0067658233,0.0055242716,0.00478416,0.0,0.0055242716,0.00478416
order,Actiniaria,1.6036209,1.4429544,0.7625003,1.4228917,1.7695653,1.0733589,1.7581893,1.1337494,0.7571987,0.76771426
order,Adapedonta,0.53003675,0.5235225,2.2886,0.53747,0.5408536,1.4887317,0.53252685,0.53536206,0.55209893,0.54032654
order,Agaricales,2.2216277,1.9602484,1.8392905,1.8598741,3.551871,2.4704328,2.1120892,2.07025,1.208149,1.7495375
order,Alismatales,3.1565142,0.7782411,2.5134835,2.6574874,2.9534302,2.4928472,2.6716647,2.0935512,0.76872796,0.8699761
order,Ammonoidea,0.40445185,0.71205604,5.3410053,0.40065187,0.42468122,0.4177599,0.39271325,0.3972077,5.525634,0.40468735
order,Amphilepidida,0.0,0.0,0.0,0.0061763236,0.0027621358,0.0067658233,0.0067658233,0.0,0.00478416,0.00390625
order,Amphinomida,0.0,0.00478416,0.0,0.0,0.0,0.00390625,0.007307925,0.007307925,0.0055242716,0.0061763236
order,Amphipoda,0.41353482,0.38173828,0.40143728,0.4195142,1.4976069,0.7176409,3.7262526,0.4031333,0.3984423,0.40812466
order,Anguilliformes,1.1540715,1.8401368,0.72278875,0.7239401,2.3489807,1.5855145,0.77296597,0.7256873,0.72458327,0.9107932
order,Anseriformes,2.0475554,0.79525894,0.95368266,1.7112693,1.4406241,1.582045,1.4242973,1.0098572,1.4658774,1.3389246
order,Anthoathecata,1.039402,0.39481345,0.38989434,0.40939796,0.39091086,0.92070353,0.40331614,0.3883062,0.4059342,0.42155713
order,Anura,2.0019722,0.8924687,1.1335006,1.0421938,1.3270283,1.3575754,1.4934896,0.9733234,0.81978524,0.9317256
order,Apiales,3.0641904,2.1547694,1.7723972,2.554115,2.2291934,1.6232412,2.3334584,2.1813862,2.0283155,2.0203705
order,Aplysiida,0.54479843,0.5450912,5.6429214,0.68145156,2.0280857,0.54767084,0.54095906,0.5345262,0.53537184,0.53216475
order,Apodiformes,1.709716,0.78077424,0.81013733,0.7816189,1.0483744,1.7118372,1.4663285,1.4447125,1.1801707,0.82766396
order,Aquifoliales,2.3352363,0.7104528,4.0664153,3.8910675,2.927578,2.209495,0.7784481,0.7049259,4.026087,0.7142615
order,Araneae,2.0006282,0.83940434,0.9020369,1.3706781,1.6787747,1.5686215,1.0644389,1.5697886,1.186215,1.2885956
order,Architaenioglossa,0.0,0.0,0.0,0.0055242716,0.0067658233,0.0061763236,0.0067658233,0.0,0.008286407,0.0
order,Arecales,0.7056408,2.7493231,0.7124948,0.7070882,2.5397868,3.912535,4.30011,5.2144785,0.8215412,0.7005295
order,Artiodactyla,2.069346,1.1887445,1.0401206,1.2847962,1.3199625,2.0289838,1.8109711,1.5151596,0.8189911,0.7869469
order,Asparagales,2.3591413,1.7684221,2.0537033,2.090704,2.3497398,2.328269,2.4924984,2.0587935,2.1937685,2.469693
order,Asterales,3.1605756,2.0866485,2.159594,1.9505463,2.458898,2.500019,2.3769124,1.7488075,2.0481305,1.6581712
order,Aulopiformes,0.39564818,0.39921975,0.40006393,0.40892014,0.77110946,2.1799521,0.39553553,0.41181988,0.3957528,0.41085404
order,Auriculariales,2.280143,0.6097994,0.60609823,0.6159946,0.6167856,1.794466,0.58817357,0.60416645,0.61532474,4.366597
order,Beryciformes,0.0061763236,0.0027621358,0.00478416,0.0,0.0067658233,0.0,0.0055242716,0.0,0.0,0.0
order,Blattodea,0.7543011,0.71089244,0.70355713,0.717203,2.00589,2.2721066,1.6834724,0.71488947,0.7018426,0.70626307
order,Boletales,3.0360136,4.3326783,2.3912187,3.7833972,1.7354925,2.2900352,0.7714583,1.8448921,3.0850198,1.7347026
order,Boraginales,2.834995,2.1236567,1.5302683,0.81137615,2.3333194,2.6021738,2.967878,2.1181448,2.2406814,1.9817913
order,Brassicales,1.5067443,2.150889,2.2427254,2.6965795,3.4634647,2.4417186,1.897573,2.5583127,2.6989026,1.6595258
order,Bruniales,0.0078125,0.012352647,0.0,0.0,0.0,0.0,0.0,0.0027621358,0.0,0.0
order,Bryales,0.64224875,3.644796,3.2394068,0.66350377,1.9693892,0.6512488,2.5790474,0.64025104,0.64285916,0.6512808
order,Bubarida,0.0027621358,0.0067658233,0.007307925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order,Bucerotiformes,0.0,0.0,0.00478416,0.0055242716,0.0027621358,0.0,0.00390625,0.0055242716,0.00390625,0.0061763236
order,Bursariomorphida,0.0,0.00478416,0.0027621358,0.0,0.0,0.0027621358,0.0027621358,0.0061763236,0.0,0.0
order,Buxales,0.0067658233,0.0,0.007307925,0.00390625,0.0,0.0055242716,0.0,0.0067658233,0.0,0.0
order,Caliciales,0.5533525,0.55822766,0.54237914,0.543191,1.462503,1.8275651,1.6933979,0.5278035,0.5308657,0.53764147
order,Camarodonta,1.4992597,0.63767046,0.65666217,0.64393795,1.2760302,1.7462415,1.7301657,0.6411677,0.6298845,0.6582895
order,Candelariales,0.007307925,0.0,0.0,0.0061763236,0.0,0.0,0.007307925,0.0027621358,0.007307925,0.0
order,Canellales,0.0,0.0,0.00390625,0.0,0.0,0.0,0.010334966,0.0,0.0055242716,0.0
order,Cantharellales,1.2356648,0.84884745,2.1341593,2.3398924,0.71342987,2.1175022,4.7951255,0.7093942,2.4125674,0.7172154
order,Caprimulgiformes,2.5401635,0.6470869,0.6648609,0.6546708,0.9391067,0.80246854,0.65258867,0.6484429,0.65040547,0.6453095
order,Capsalidea,0.0,0.00390625,0.0,0.0055242716,0.013531647,0.0027621358,0.0,0.007307925,0.0,0.0067658233
order,Carcharhiniformes,0.5288282,0.5542146,3.3420753,0.5282904,2.5738108,0.5295998,0.5431352,0.5388881,0.53253084,0.5461195
order,Cardiida,2.0325806,2.3549776,0.66137683,0.6651355,0.6683021,0.6784572,1.3154571,0.67365766,0.6668551,0.6712831
order,Cariamiformes,0.0,0.0,0.010334966,0.0055242716,0.00390625,0.0,0.00390625,0.00478416,0.0,0.0
order,Carnivora,2.1200697,0.96816146,1.3366671,1.8986869,1.6369613,1.7156141,1.6750989,1.2247659,1.7084054,1.172077
order,Caryophyllales,2.9160936,1.7160549,2.5314257,2.7775302,2.5843556,2.4536006,2.2043614,2.0243864,1.5614262,2.1722753
order,Caudata,2.3532054,0.787446,0.7835069,1.1188498,1.453188,1.4988797,1.700873,1.320481,0.8286783,0.8169259
order,Celastrales,4.633029,5.7485704,1.45777,2.3861492,2.9170475,0.73399514,0.7391744,0.72941834,0.7327935,0.7393766
order,Centrohelida,0.00478416,0.0,0.0,0.0,0.0,0.0,0.0055242716,0.0,0.011048543,0.0
order,Cephalaspidea,1.0728432,0.4182214,2.6935747,0.41265643,0.3997475,0.39072573,0.4128157,0.39176998,0.40802878,0.4353025
order,Ceratiomyxales,0.00390625,0.0027621358,0.0,0.0027621358,0.0,0.0,0.0,0.0061763236,0.0,0.008734641
order,Cetacea,2.5078247,0.7236117,0.714454,1.7315364,1.5426681,1.5692769,1.9056432,0.7131975,0.72676605,0.7180185
order,Charadriiformes,1.9434325,1.2032418,1.3215073,1.1493753,1.5225624,1.5321825,1.3155928,1.2980204,0.9290833,1.0771704
order,Cheilostomatida,0.5423664,0.5487969,0.5445745,3.6406467,0.53568596,0.5326862,2.4191597,0.54383105,0.5514106,0.54821813
order,Chiroptera,2.1954117,1.3413593,1.6794821,1.3277355,0.8216633,1.0324531,0.75490016,0.7533121,0.7422665,1.0779818
order,Chitonida,1.9008815,0.74153024,2.3770895,1.2213578,1.4065495,0.8909367,0.7407846,0.92239344,0.7454294,0.8411066
order,Ciconiiformes,1.4821866,0.68574715,0.6998087,0.691917,1.115373,1.2300006,0.6993512,0.8754821,0.69169325,2.028557
order,Clypeasteroida,0.00390625,0.0,0.0,0.0,0.0055242716,0.0,0.0055242716,0.0,0.00478416,0.0027621358
order,Coleoptera,2.0592947,0.8189357,1.2143291,0.9723575,1.4457762,1.3957411,1.053602,1.0411285,0.8303792,0.94358015
order,Coliiformes,0.0,0.0,0.007307925,0.0,0.0055242716,0.00478416,0.00390625,0.0061763236,0.0,0.00390625
order,Columbiformes,1.373363,0.76714635,1.0654458,0.77623093,1.3538766,1.7313223,1.640445,1.0128665,0.7769154,0.76429534
order,Commelinales,3.726858,2.4482079,0.81646264,2.3421671,2.2873795,3.4447327,2.321846,0.7287203,0.7259562,0.85761416
order,Coraciiformes,1.5186579,1.2823749,0.8090111,0.77177286,1.3663232,1.0782906,1.5597122,1.2233467,0.76876295,0.9728868
order,Cornales,1.2922962,1.4808052,0.7657281,3.2298937,2.688261,4.7146153,1.6590662,2.1536782,1.6163132,0.76867175
order,Crassiclitellata,0.0055242716,0.00390625,0.0,0.0061763236,0.0,0.0,0.0,0.0,0.0,0.0
order,Cribrariales,0.4090161,0.3997755,0.4135129,0.38901013,2.2307796,0.40522873,2.5694478,0.3957551,0.41807926,0.41635936
order,Crocodylia,0.66096354,0.63917994,0.6508905,0.6408085,1.8276944,2.5126994,0.62786204,2.3047118,0.6486538,0.8135134
order,Crossosomatales,0.0,0.0,0.0,0.0,0.0,0.0,0.010334966,0.0061763236,0.0,0.0
order,Cuculiformes,2.0490687,0.7415832,1.9439934,1.4049022,1.0917838,1.397274,0.75836474,0.75077784,0.74736845,0.75743943
order,Cucurbitales,2.2759612,0.7173419,1.7925568,1.9807755,1.4986702,2.9325032,2.0425131,0.713493,0.7132562,2.7468898
order,Cyatheales,4.317792,4.590813,2.7501118,1.6561536,0.6480611,0.82639015,0.643124,0.6458639,0.6513196,0.6411776
order,Cycadales,0.0,0.0,0.00390625,0.00478416,0.0,0.0,0.0055242716,0.0,0.00478416,0.00390625
order,Cycloneritida,2.3412373,0.6174039,0.60488147,0.60920274,0.63537884,2.0616128,0.5989404,0.60466206,0.60253465,0.59096557
order,Cypriniformes,2.6575603,0.7165741,1.5006691,0.7201257,0.82343876,1.651973,0.7101308,0.717569,1.8007524,0.7217428
order,Cyprinodontiformes,1.5381706,0.64192843,0.64796424,0.84366,1.6370478,1.8118391,0.6531807,0.6536502,0.653328,2.73948
order,Dacrymycetales,0.41311288,0.38903084,0.40829656,0.40681773,1.9780397,0.4044444,2.098504,0.4016629,0.41375345,0.40491405
order,Decapoda,1.3701894,1.137793,0.7794344,1.5112964,1.6190138,1.7965786,1.9579334,1.2424488,1.1764342,1.2433047
order,Dendrochirotida,1.2490901,0.5290124,0.5283245,0.53152204,1.3741424,0.54131544,1.4171034,0.54113644,0.5329815,0.5580161
order,Dermaptera,0.4001762,0.39752126,0.41395307,0.4080307,0.40608877,1.5281106,0.41145936,0.41137168,0.40896732,0.41820654
order,Diadematoida,0.54138917,0.54951257,0.54394287,0.5339102,2.442374,0.53949314,2.3320978,0.5329051,0.5293269,0.54802024
order,Diaporthales,0.0,0.0061763236,0.007307925,0.0027621358,0.007307925,0.0055242716,0.00478416,0.0055242716,0.0061763236,0.00390625
order,Dicranales,0.41250706,0.69555134,3.5272408,0.38755107,0.41148987,0.41531432,3.5548663,0.40475062,0.41062528,0.41855204
order,Didelphimorphia,0.57847345,0.41090894,0.41950268,0.39865458,0.42356467,5.5687513,2.4459314,0.3912602,0.41079786,0.39926684
order,Dioscoreales,0.41142184,6.6203637,0.42175066,0.40310493,0.40281394,0.40423337,2.1783786,0.41078937,0.39488488,0.40258938
order,Diprotodontia,1.753736,0.6700188,0.67031896,0.66767883,0.67304504,1.2423577,1.206693,0.66859823,0.6762193,0.6754816
order,Dipsacales,3.5172353,1.3910242,2.4449203,1.865438,2.1071239,2.223794,1.8650565,2.4485905,2.5674644,2.4526715
order,Diptera,1.973476,1.0558833,1.2812595,1.0999248,2.039816,1.9815874,1.2511929,1.1058668,0.795148,0.99212635
order,Dorylaimida,0.0,0.0,0.0,0.00390625,0.0055242716,0.0078125,0.0055242716,0.0,0.0055242716,0.0
order,Echiuroidea,0.0,0.008734641,0.0055242716,0.0067658233,0.0,0.010334966,0.008286407,0.00478416,0.0,0.0
order,Elopiformes,0.0067658233,0.0078125,0.0,0.0,0.0,0.0,0.00478416,0.0061763236,0.0055242716,0.0067658233
order,Endothyrida,0.0,0.0,0.0,0.0,0.0,0.0055242716,0.0,0.0099590225,0.0,0.0
order,Ephedrales,0.3918156,0.4049117,4.7477818,0.4092216,5.080235,0.39432424,0.39358133,0.4098166,0.38759568,0.41332242
order,Ephemeroptera,0.0,0.0,0.0061763236,0.0,0.00390625,0.0,0.0067658233,0.0,0.0,0.0
order,Equisetales,1.7540756,0.6850676,4.619918,0.6917865,3.3428323,0.68408746,0.69039476,2.7419174,2.366699,0.7017331
order,Ericales,2.2038174,2.3784919,2.5694797,2.5869873,2.5632389,2.3532252,1.9477177,1.9977326,2.0707047,1.5676746
order,Erinaceomorpha,1.2989011,0.40656582,0.41171753,0.38731506,0.39890754,0.41497123,0.41139314,0.39382517,0.40993097,0.42154118
order,Esociformes,1.3507397,0.4202392,0.40778533,0.39994898,0.40894073,0.40376273,0.4339453,0.4076011,0.40274295,0.4111734
order,Eugregarinida,0.0055242716,0.0055242716,0.016572814,0.00478416,0.0,0.00390625,0.0027621358,0.00478416,0.0,0.0061763236
order,Eurypygiformes,0.0,0.0078125,0.0,0.0,0.00478416,0.00478416,0.0,0.0,0.0,0.0027621358
order,Fabales,3.5876594,1.3872197,1.6164784,2.0232062,2.8986988,2.339445,1.7052605,1.9358201,2.0358498,2.0033953
order,Fagales,2.0044758,3.4361005,2.6192224,2.4579053,3.781368,2.3208246,2.6983147,2.193869,1.9132968,1.0779884
order,Falconiformes,2.0669363,0.7530585,0.8888874,0.74713796,1.7550442,1.7249733,1.1144583,0.7488895,0.7515586,0.7501144
order,Forcipulatida,1.9956353,0.7039292,1.5136852,0.711839,0.7002889,0.70329666,0.7037512,0.7051039,0.71419036,0.70175433
order,Funariales,0.0,0.00390625,0.0,0.00478416,0.0027621358,0.0,0.0,0.0027621358,0.0,0.00478416
order,Galliformes,1.948507,0.7706948,0.87356836,0.7723149,1.9134611,0.9458326,1.3827238,1.8312173,1.188829,0.7712579
order,Garryales,0.40291846,0.4222863,0.40406093,0.4269991,0.9239725,0.40623328,2.9519377,0.39600343,0.40981892,0.41891378
order,Gaviiformes,0.42846888,0.39857185,0.41733396,0.40677676,0.7207078,0.40870512,0.4039541,2.9305756,0.3869565,0.37850207
order,Geastrales,3.2052588,0.41553712,0.40766767,0.40489987,2.7141814,0.4058059,0.3995924,0.4019711,0.40350708,0.42139828
order,Gentianales,2.284273,1.9950863,1.7929535,1.9014708,2.6139004,2.2379816,2.6688566,1.4132617,2.1779914,1.2366427
order,Geraniales,3.3871686,2.0724156,2.333826,1.7230103,3.495121,2.7762172,2.5080774,1.9682873,0.83376306,0.7662452
order,Ginkgoales,0.0,0.00956832,0.0,0.00478416,0.00390625,0.0,0.0,0.0,0.00390625,0.0
order,Gleicheniales,0.42062533,0.4173206,0.41397333,0.40393344,3.7046967,5.3590183,0.4008903,0.38589132,0.53665817,0.40700388
order,Gloeophyllales,0.0061763236,0.008286407,0.00478416,0.0,0.0,0.0,0.0,0.00390625,0.0067658233,0.007307925
order,Gobiesociformes,0.0,0.00390625,0.0,0.0,0.0,0.00390625,0.00390625,0.0,0.0,0.0
order,Gomphales,0.38840434,0.40970215,0.40189528,0.41453084,3.1097686,0.40074265,0.40570444,0.40372187,5.0232477,0.4138822
order,Grimmiales,2.3949807,0.4087964,0.38587606,0.41999683,0.39529556,4.231141,0.40404236,0.41284576,0.4212547,0.38766158
order,Gruiformes,1.986571,0.75355554,0.79031116,0.74795926,2.1356463,2.0122962,0.7537583,0.7547809,0.82211304,0.74935246
order,Gunnerales,4.301559,0.7138961,0.39704853,0.42080557,0.42458296,0.40627176,0.39480823,0.40375394,0.39202338,4.235056
order,Haplotaxida,0.0,0.0,0.0,0.0061763236,0.0067658233,0.0,0.0027621358,0.0,0.0,0.011048543
